nb_avis,email,created_at,score,rating,prenom,ne_plus_contacter,adresse,ecarte,data_extra,note,updated_at,source,id,telephone,statut_meta,liste_id,entreprise,statut,ville,secteur,nom,site_web
23,,2026-09-14T14:46:35,,5.0,,0,"
39 Av. de la Motte-Picquet, 75007 Paris, France",0,"{""legacy_id"": 1907, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 32, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""architecte interieur"", ""lien_maps"": ""https://www.google.com/maps/place/L%27Agence+BLEU+architecte+d%27int%C3%A9rieur+%C3%A0+Paris/data=!4m7!3m6!1s0x47e66d84e64b724d:0x5a2ca164c44d019b!8m2!3d48.8546255!4d2.3064867!16s%2Fg%2F11b6hkbjrr!19sChIJTXJL5oRt5kcRmwFNxGShLFo?authuser=0&hl=fr&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1"", ""logo_url"": ""https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i66374!3i45091!2m3!1e0!2sm!3i793559730!2m2!1e2!2sspotlit!3m8!2sfr!3sbj!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!27m15!299174093m14!14m13!1m8!1m2!1y5180948838903149133!2y6497745816550965659!2s%2Fg%2F11b6hkbjrr!4m2!1x488546255!2x230"", ""pays"": ""fr"", ""date_scraping"": ""2026-09-06 11:23:53"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 5, ""ia_signaux"": ""Pas de site, téléphone présent - à contacter (création)"", ""ia_reco"": ""a_contacter""}",,2026-09-17T12:19:03,legacy_maps,8637,+33619693972,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",150,L'Agence BLEU architecte d'intérieur à Paris,qualifie,Paris,,L'Agence BLEU architecte d'intérieur à Paris,
39,,2026-09-14T14:46:35,,5.0,,0,"
51 Rue Jean-Jacques Rousseau, 75001 Paris, France",0,"{""legacy_id"": 1878, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 32, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""architecte interieur"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+V%C3%A9ronique+Cotrel/data=!4m7!3m6!1s0x47e66e156ffcd19b:0x5985250386842a9!8m2!3d48.8640543!4d2.3428669!16s%2Fg%2F1tftw89k!19sChIJm9H8bxVu5kcRqUJoOFBSmAU?authuser=0&hl=fr&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1"", ""logo_url"": ""https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i66388!3i45087!2m3!1e0!2sm!3i793559730!2m2!1e2!2sspotlit!3m8!2sfr!3sbj!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!23i100760045!27m15!299174093m14!14m13!1m8!1m2!1y5180949459688542619!2y403162671146877609!2s%2Fg%2F1tftw89k!4m2!1x48864"", ""pays"": ""fr"", ""date_scraping"": ""2026-09-06 11:22:27"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 5, ""ia_signaux"": ""Pas de site, téléphone présent - à contacter (création)"", ""ia_reco"": ""a_contacter""}",,2026-09-17T12:19:03,legacy_maps,8608,+33188326480,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",150,Agence Véronique Cotrel,qualifie,Paris,,Agence Véronique Cotrel,
960,,2026-09-14T14:46:35,,4.9,,0,"
30 Rue Sedaine, 75011 Paris, France",0,"{""legacy_id"": 1872, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 32, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""architecte interieur"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+LFD+%28Les+F%C3%A9es+D%C3%A9co%29+-+Interior+Design+-+Ma%C3%AEtrise+d%27oeuvre/data=!4m7!3m6!1s0x47e66df8babd4a61:0xec45268296ae3764!8m2!3d48.8562594!4d2.3734943!16s%2Fg%2F11b6d62m_7!19sChIJYUq9uvht5kcRZDeuloImRew?authuser=0&hl=fr&g_ep=EgoyMDI2MDkwMi4wIJJjKgBIAVAD&rclk=1"", ""logo_url"": ""https://www.google.com/maps/vt/pb=!1m4!1m3!1i17!2i66400!3i45091!2m3!1e0!2sm!3i793559730!2m2!1e2!2sspotlit!3m8!2sfr!3sbj!5e1105!12m4!1e68!2m2!1sset!2sRoadmap!4e0!5m1!1e0!23i1368782!23i1368785!23i4861626!23i10211310!23i1381938!23i47054629!23i47029525!23i72272233!23i72272234!23i72272236!23i72458815!23i94243289!23i94255677!23i72860224!23i10211515!23i94260020!23i100799651!23i72549439!23i100760045!27m15!299174093m14!14m13!1m8!1m2!1y5180949336388618849!2y17025056308659631972!2s%2Fg%2F11b6d62m_7!4m2!1x4"", ""pays"": ""fr"", ""date_scraping"": ""2026-09-06 11:22:27"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 5, ""ia_signaux"": ""Pas de site, téléphone présent - à contacter (création)"", ""ia_reco"": ""a_contacter""}",,2026-09-17T12:19:03,legacy_maps,8602,+33610760162,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",150,Agence LFD (Les Fées Déco) - Interior Design - Maîtrise d'oeuvre,qualifie,Paris,,Agence LFD (Les Fées Déco) - Interior Design - Maîtrise d'oeuvre,
6161,,2026-09-14T14:46:35,0,4.6,,0,"
11 Quai Arloing, 69009 Lyon, France",0,"{""legacy_id"": 1525, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+HOMICCA/data=!4m7!3m6!1s0x47f4eb0d350c69b9:0xce0f75ef9e1c7b52!8m2!3d45.773104!4d4.809704!16s%2Fg%2F1tgcxdnw!19sChIJuWkMNQ3r9EcRUnscnu91D84?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:52"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_score"": 0, ""ia_opportunite"": 1, ""ia_signaux"": ""Site moderne""}",,2026-09-17T12:02:04,legacy_maps,8556,+33437642585,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",146,Agence HOMICCA,qualifie,Lyon,,Agence HOMICCA,https://homicca.fr/
9265,,2026-09-14T14:46:35,,4.9,,0,"
32 Quai Paul Sédallian, 69009 Lyon, France",0,"{""legacy_id"": 1522, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/THIBAUD+VENET+IMMOBILIER+%7C+Groupe+d%E2%80%99Agences+%7C+Lyon+%26+Gen%C3%A8ve+%7C+Immobilier+de+Prestige+-+Luxe/data=!4m7!3m6!1s0x47f35234dbe40001:0xaa27e27ba632ae89!8m2!3d45.7922083!4d4.8201291!16s%2Fg%2F11hytb4zqh!19sChIJAQDk2zRS80cRia4ypnviJ6o?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:52"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 35, ""ia_signaux"": ""thibaud-venet-immobilier.com = groupe d'agences - grand compte"", ""ia_reco"": ""a_verifier""}",,2026-09-17T12:02:04,legacy_maps,8553,+33972456082,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",144,THIBAUD VENET IMMOBILIER | Groupe d’Agences | Lyon & Genève | Immobilier de Prestige - Luxe,qualifie,Lyon,,THIBAUD VENET IMMOBILIER | Groupe d’Agences | Lyon & Genève | Immobilier de Prestige - Luxe,https://www.thibaud-venet-immobilier.com/
5427,,2026-09-14T14:46:35,,3.5,,0,"
158 Gd Rue de la Guillotière, 69007 Lyon, France",1,"{""legacy_id"": 1519, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+Immobili%C3%A8re+Lyon+-+Citya+Gallichet+Lemaitre/data=!4m7!3m6!1s0x47f4ea42cb9cb0f9:0xb552a5d6d929215b!8m2!3d45.7496366!4d4.8522881!16s%2Fg%2F1tjyn1m5!19sChIJ-bCcy0Lq9EcRWyEp2dalUrU?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:14"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 35, ""ia_signaux"": ""citya.com = réseau Citya - grand compte"", ""ia_reco"": ""a_verifier""}",,2026-09-16T16:27:35,legacy_maps,8550,+33478721724,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",144,Agence Immobilière Lyon - Citya Gallichet Lemaitre,qualifie,Lyon,,Agence Immobilière Lyon - Citya Gallichet Lemaitre,https://www.citya.com/agences-immobilieres/lyon-7e-arrondissement-69007/603?utm_campaign=lyon_7e_arrondissement&utm_medium=gmb&utm_source=google
7104,,2026-09-14T14:46:35,,4.7,,0,"
123 Av. Jean Jaurès, 69007 Lyon, France",0,"{""legacy_id"": 1518, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/ORPI+AGENCE+de+la+Gare/data=!4m7!3m6!1s0x47f4ea391b76726f:0x86de34965defe6e1!8m2!3d45.7419314!4d4.8402789!16s%2Fg%2F11b75ctqmw!19sChIJb3J2Gznq9EcR4ebvXZY03oY?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:14"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 35, ""ia_signaux"": ""estimationimmobilierlyon.com = agence ORPI - réseau ORPI - grand compte"", ""ia_reco"": ""a_verifier""}",,2026-09-17T12:02:04,legacy_maps,8549,+33437264196,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",144,ORPI AGENCE de la Gare,qualifie,Lyon,,ORPI AGENCE de la Gare,https://estimationimmobilierlyon.com/
9135,,2026-09-14T14:46:35,,4.9,,0,"
68 Av. Jean Jaurès, 69007 Lyon, France",1,"{""legacy_id"": 1517, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+immobili%C3%A8re+ERA+Jean+Mac%C3%A9+LYON/data=!4m7!3m6!1s0x47f4eb422e1e8ba1:0x321bd3b0ca5e3a44!8m2!3d45.7480825!4d4.8432811!16s%2Fg%2F11g1p6m_fk!19sChIJoYseLkLr9EcRRDpeyrDTGzI?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:13"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 35, ""ia_signaux"": ""erafrance.com = réseau ERA - grand compte"", ""ia_reco"": ""a_verifier""}",,2026-09-16T16:27:35,legacy_maps,8548,+33481654440,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",144,Agence immobilière ERA Jean Macé LYON,qualifie,Lyon,,Agence immobilière ERA Jean Macé LYON,https://www.erafrance.com/agence-immobiliere-lyon-7-245
1158,,2026-09-14T14:46:35,,4.1,,0,"
136 Av. des Frères Lumière, 69008 Lyon, France",1,"{""legacy_id"": 1516, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+immobili%C3%A8re+Lafor%C3%AAt+Lyon+8/data=!4m7!3m6!1s0x47f4c1dfd32f40d5:0x122cab75db24fcf7!8m2!3d45.7438028!4d4.8710898!16s%2Fg%2F1td9pwpc!19sChIJ1UAv09_B9EcR9_wk23WrLBI?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:13"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_opportunite"": 35, ""ia_signaux"": ""laforet.com = réseau Laforêt - grand compte"", ""ia_reco"": ""a_verifier""}",,2026-09-16T16:27:35,legacy_maps,8547,+33478012526,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",144,Agence immobilière Laforêt Lyon 8,qualifie,Lyon,,Agence immobilière Laforêt Lyon 8,https://www.laforet.com/agence-immobiliere/lyon8?utm_source=google&utm_medium=mybusiness
856,,2026-09-14T14:46:35,45,4.8,,0,"
25 Rue Frère Benoît, 69009 Lyon, France",0,"{""legacy_id"": 1515, ""legacy_table"": ""leads_bruts"", ""campaign_legacy_id"": 12, ""source_legacy"": ""maps"", ""statut_legacy"": ""en_attente"", ""mot_cle"": ""agence immobilière"", ""lien_maps"": ""https://www.google.com/maps/place/Agence+immobili%C3%A8re+Lyon+MS+PRESTIGE+IMMOBILIER/data=!4m7!3m6!1s0x47f4eb265de406ff:0x8f8aeb0ac50009a5!8m2!3d45.7654255!4d4.7947094!16s%2Fg%2F11n08bnf4x!19sChIJ_wbkXSbr9EcRpQkAxQrrio8?authuser=0&hl=fr&rclk=1"", ""pays"": ""fr"", ""date_scraping"": ""2026-06-15 20:20:13"", ""niveau_urgence"": 0, ""ecarte_legacy"": 0, ""ia_score"": 45, ""ia_opportunite"": 3, ""ia_signaux"": ""non_responsive(+40); no_favicon(+5)"", ""ia_reco"": ""a_contacter""}",,2026-09-17T12:02:04,legacy_maps,8546,+33619842011,"{""created_at"": ""2026-09-14T14:46:35"", ""source"": ""legacy_maps""}",143,Agence immobilière Lyon MS PRESTIGE IMMOBILIER,qualifie,Lyon,,Agence immobilière Lyon MS PRESTIGE IMMOBILIER,https://www.msprestigeimmobilier.fr/
