Id,Nom,Adresse,Ville,Secteur,Site,Tel,Email,ScoreActuel,Categorie,Objectif,Opportunite,Score,Signaux,Reco,EmailObjet,EmailCorps
8223,Résidences Mosaly Cotonou,"
9C5H+CJ6, Cotonou",Cotonou,Hôtel,,67961919,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8224,BENIN CITY CENTER HOTEL,"
9C5C+5QF, Face Hall des Arts Carré 368, 369 Boulevard Saint Michel, Cotonou",Cotonou,Hôtel,,0197092255,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8225,Le Colibri Guesthouse,"
993C+78W, Rue 2341, Cotonou",Cotonou,Hôtel,,0157552419,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8226,Benin Berge Hotel,"
Proche du Commissariat, Rue 704, Cotonou",Cotonou,Hôtel,,0121325668,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8227,Residence Ivoire - Cotonou,"
99C6+J5, Cotonou",Cotonou,Hôtel,,0162265555,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8228,Hôtel Amazone,"
JAK, Cotonou",Cotonou,Hôtel,,41243838,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8229,Soluxe Hotel Cotonou,"
1438 Ave Jean-Paul II, Cotonou",Cotonou,Hôtel,,+86 190733415,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8230,Résidence Maryka II,"
Lot 551-552, Rue de la Poste, Cotonou",Cotonou,Hôtel,,66282170,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8231,Hôtel Tahiti benin,"
Rue 1531, Cotonou",Cotonou,Hôtel,,97111777,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
8232,Sun Beach Hôtel,"
995C+7PH Fidjrossè Calvaire, Cotonou",Cotonou,Hôtel,,21302690,,0,Hôtel,web,5,,"Pas de site, téléphone présent — à contacter (création)",a_contacter,,
